epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.336,4.6556,4.76897,2.59373,0,0,0,0,6.46174,4.96349,3.61317,6e-05,6e-05,6e-05
2,248.168,5.2127,4.92955,2.7421,0,0,0,0,6.17617,4.67208,3.37879,0.000138614,0.000138614,0.000138614
3,259.236,4.50868,4.84054,2.32328,0,0,0,0,3.46645,4.55853,1.62105,0.000215644,0.000215644,0.000215644
4,269.745,4.09004,4.64622,2.1019,0,0,0,0,5.7437,5.22881,2.78627,0.00029109,0.00029109,0.00029109
5,279.978,3.93733,4.61124,1.97185,0,0,0,0,4.92419,5.02158,2.09819,0.000364952,0.000364952,0.000364952
6,290.124,4.44016,4.58157,2.05129,0,0,0,0,3.99554,4.38929,1.78966,0.00043723,0.00043723,0.00043723
7,300.267,3.94159,4.3517,1.80138,0,0,0,0,3.33815,4.64814,1.47301,0.000507924,0.000507924,0.000507924
8,310.599,3.45858,4.24434,1.77925,0,0,0,0,3.90483,4.51175,1.79646,0.000577034,0.000577034,0.000577034
9,320.878,3.83539,4.34707,1.76416,0,0,0,0,4.32388,4.42953,2.25402,0.00064456,0.00064456,0.00064456
10,331.135,3.5756,4.1509,1.82064,0,0,0,0,4.56153,4.70424,2.41586,0.000710502,0.000710502,0.000710502
11,341.504,3.34088,4.52398,1.71339,0,0,0,0,4.9303,4.93296,2.65917,0.00077486,0.00077486,0.00077486
12,351.978,3.71747,4.0777,1.66975,0,0,0,0,5.12086,4.89168,2.78799,0.000837634,0.000837634,0.000837634
13,362.605,3.35026,4.06762,1.68669,0,0,0,0,6.86139,13.8073,10.241,0.000898824,0.000898824,0.000898824
14,372.887,3.42759,3.97716,1.67349,0,0,0,0,6.96423,5.73305,19.104,0.00095843,0.00095843,0.00095843
15,383.199,3.46038,4.03511,1.51939,0,0,0,0,7.0097,8.29432,48.136,0.00101645,0.00101645,0.00101645
16,393.256,3.47363,3.94579,1.55414,0,0,0,0,2.16586,6.91047,19.7837,0.00107289,0.00107289,0.00107289
17,403.586,3.3261,4.0595,1.56737,0,0,0,0,0.87178,2.40457,6.913,0.00112774,0.00112774,0.00112774
18,413.934,3.29656,3.93617,1.63757,0,0,0,0,6.42276,517.488,6.72812,0.00118101,0.00118101,0.00118101
19,424.174,2.94168,3.99317,1.45227,0,0,0,0,5.89098,135.531,4.98002,0.0012327,0.0012327,0.0012327
20,434.322,3.02243,3.77079,1.43146,0,0,0,0,5.55772,118.226,3.70284,0.0012828,0.0012828,0.0012828
21,444.574,3.40953,3.74966,1.47001,0,0,0,0,0.08786,0.13445,1.36046,0.00133132,0.00133132,0.00133132
22,454.839,3.27857,3.82414,1.49573,0,0,0,0,6.49868,11.1301,9.91609,0.00137825,0.00137825,0.00137825
23,465.352,3.31531,3.88245,1.57622,0,0,0,0,5.66002,10.1614,3.61239,0.0014236,0.0014236,0.0014236
24,475.489,3.32768,3.86539,1.53755,0,0,0,0,6.08203,6.6504,2.97907,0.00146737,0.00146737,0.00146737
25,485.856,3.22716,3.87765,1.49432,0,0,0,0,5.93289,8.63811,3.49373,0.00150955,0.00150955,0.00150955
26,496.131,3.40299,3.94766,1.59923,0,0,0,0,6.21773,9.44981,5.66212,0.001505,0.001505,0.001505
27,506.583,3.10149,3.76928,1.44472,0,0,0,0,6.11649,12.416,6.48571,0.0014852,0.0014852,0.0014852
28,516.933,3.59076,3.8622,1.62021,0,0,0,0,0.00684,0.06375,0.01577,0.0014654,0.0014654,0.0014654
29,527.281,3.31345,4.26325,1.54288,0,0,0,0,0,237.238,0,0.0014456,0.0014456,0.0014456
30,537.575,2.97065,4.2517,1.37372,0,0,0,0,0.00142,0.03716,0.00311,0.0014258,0.0014258,0.0014258
31,547.993,3.55936,4.13249,1.6635,0,0,0,0,3.42602,19.155,3.33246,0.001406,0.001406,0.001406
32,558.325,3.19997,3.77616,1.43515,0,0,0,0,3.7391,18.9827,4.4583,0.0013862,0.0013862,0.0013862
