epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6475,2.82013,4.9657,2.29248,0.00128,0.25,0.00038,0.0001,2.29965,4.74006,2.10728,6e-05,6e-05,6e-05
2,59.1159,2.42928,5.12836,1.97163,0.00205,0.4,0.0012,0.00056,1.97321,4.51591,1.78636,0.000138614,0.000138614,0.000138614
3,87.6601,2.33998,4.45565,1.88197,0.0041,0.8,0.084,0.02037,1.71927,4.21254,1.49738,0.000215644,0.000215644,0.000215644
4,115.253,2.08293,3.94814,1.68403,0.00436,0.85,0.45671,0.11951,1.53319,4.09698,1.3677,0.00029109,0.00029109,0.00029109
5,143.093,2.11205,3.87095,1.68901,0.00436,0.85,0.32556,0.06195,1.49503,4.0372,1.33347,0.000364952,0.000364952,0.000364952
6,171.184,2.13077,3.15333,1.69603,0.00487,0.95,0.36186,0.13224,1.46787,3.94185,1.28847,0.00043723,0.00043723,0.00043723
7,199.633,1.98808,3.10903,1.59997,0.00487,0.95,0.6601,0.38482,1.34178,3.91225,1.14598,0.000507924,0.000507924,0.000507924
8,227.472,1.84498,3.43692,1.43027,0.00462,0.9,0.62947,0.40515,1.31196,4.07726,1.14163,0.000577034,0.000577034,0.000577034
9,256.607,1.83335,2.94084,1.39203,0.00462,0.9,0.58866,0.51626,1.34947,4.56305,1.06347,0.00064456,0.00064456,0.00064456
10,284.491,1.89961,3.30912,1.44121,0.00462,0.9,0.63666,0.57863,1.16702,4.58936,1.03631,0.000710502,0.000710502,0.000710502
11,315.424,1.77891,3.88736,1.3447,0.00462,0.9,0.22737,0.14085,1.47911,3.92022,1.35766,0.00077486,0.00077486,0.00077486
12,348.986,1.66572,2.56429,1.38165,0.00513,1,0.06894,0.03169,1.42389,3.90815,1.34165,0.000837634,0.000837634,0.000837634
