epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26655,3.0894,4.31982,1.64843,0,0,0,0,6.86786,6.19622,4.2301,6e-05,6e-05,6e-05
2,15.8613,2.80656,4.08219,1.5457,0,0,0,0,6.756,5.70953,3.7329,0.000138614,0.000138614,0.000138614
3,23.519,2.18057,3.70572,1.19042,0,0,0,0,6.70069,6.11646,3.98146,0.000215644,0.000215644,0.000215644
4,30.9658,1.69995,3.18867,1.04609,0,0,0,0,5.55153,5.60717,2.7198,0.00029109,0.00029109,0.00029109
5,38.284,1.46116,2.61642,0.9775,0,0,0,0,3.62935,4.64194,1.7609,0.000364952,0.000364952,0.000364952
6,46.7587,1.41842,2.00583,0.95648,0.00043,0.06667,0.00024,0.00017,2.6587,4.27959,1.28263,0.00043723,0.00043723,0.00043723
7,57.5327,1.30672,1.84261,0.92752,0.00352,0.6,0.01297,0.00356,2.04958,3.93241,1.02666,0.000507924,0.000507924,0.000507924
8,66.7097,1.41034,1.63607,0.98868,0.00537,0.86667,0.02633,0.00718,1.63574,3.7304,0.92006,0.000577034,0.000577034,0.000577034
9,75.5812,1.3376,1.34366,0.92177,0.00678,0.86667,0.02963,0.01157,1.48896,3.69608,0.87599,0.00064456,0.00064456,0.00064456
10,84.523,1.17729,1.23355,0.91562,0.00678,0.73333,0.02271,0.00831,1.49089,3.65674,0.85749,0.000710502,0.000710502,0.000710502
11,93.4212,1.05965,1.1159,0.92314,0.00616,0.66667,0.01022,0.00402,1.47158,3.65424,0.91069,0.00077486,0.00077486,0.00077486
12,102.781,1.08238,1.17415,0.84926,0.00713,0.66667,0.00474,0.00237,1.56244,3.97645,0.90949,0.000837634,0.000837634,0.000837634
13,111.894,1.21944,1.18438,0.87845,0.00487,0.46667,0.00227,0.00103,1.61546,4.08176,0.9835,0.000898824,0.000898824,0.000898824
14,119.793,1.08711,1.05169,0.84507,0.00614,0.6,0.00369,0.00185,1.38535,4.05658,0.87586,0.00095843,0.00095843,0.00095843
