epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4164,3.175,4.99668,1.99135,0.00026,0.05263,3e-05,0,3.55878,5.08541,2.23883,6e-05,6e-05,6e-05
2,26.5021,3.67615,4.85403,2.04378,0.00154,0.31579,0.00092,0.00017,3.30967,4.97011,2.02533,0.000138614,0.000138614,0.000138614
3,57.4017,3.12261,4.62293,1.78083,0.00231,0.47368,0.00299,0.00058,3.02242,4.52007,1.72177,0.000215644,0.000215644,0.000215644
4,72.4244,2.76238,4.13414,1.52467,0.00256,0.52632,0.00189,0.00029,2.8325,4.40442,1.62857,0.00029109,0.00029109,0.00029109
5,89.6043,2.61065,3.71302,1.53487,0.00282,0.57895,0.00221,0.00043,2.2683,4.29342,1.4496,0.000364952,0.000364952,0.000364952
6,116.381,2.64526,3.54772,1.4723,0.00385,0.78947,0.01972,0.00641,1.93511,4.17644,1.35492,0.00043723,0.00043723,0.00043723
7,131.595,2.74331,3.61936,1.45003,0.00436,0.89474,0.02688,0.00411,1.89981,4.05969,1.37452,0.000507924,0.000507924,0.000507924
8,145.62,2.34118,3.75662,1.40392,0.00359,0.73684,0.00444,0.00098,1.94471,4.04725,1.44873,0.000577034,0.000577034,0.000577034
9,165.004,2.62581,3.2838,1.38887,0.00359,0.73684,0.00568,0.00137,2.29701,4.13202,1.57714,0.00064456,0.00064456,0.00064456
10,177.995,2.37404,3.32338,1.41876,0.0041,0.84211,0.00868,0.00201,2.48965,4.45753,1.70581,0.000710502,0.000710502,0.000710502
11,198.483,2.23346,2.76076,1.34584,0.0041,0.84211,0.00753,0.0023,2.08963,4.33279,1.53664,0.00077486,0.00077486,0.00077486
12,224.153,2.18218,2.42925,1.25668,0.00359,0.73684,0.00598,0.00253,1.78992,4.08042,1.46846,0.000837634,0.000837634,0.000837634
13,242.148,2.03565,2.61063,1.29052,0.00359,0.73684,0.00488,0.00214,1.75893,3.95464,1.39309,0.000898824,0.000898824,0.000898824
14,257.775,2.0542,2.47045,1.22904,0.00385,0.78947,0.01248,0.00305,1.71021,3.89428,1.37827,0.00095843,0.00095843,0.00095843
15,270.96,1.97316,2.56955,1.16401,0.00333,0.68421,0.01616,0.00393,2.1026,3.92146,1.4935,0.00101645,0.00101645,0.00101645
16,289.564,2.07398,2.50819,1.19059,0.13537,0.05263,0.02059,0.00786,2.46282,4.08395,1.6295,0.00107289,0.00107289,0.00107289
17,302.715,1.88706,2.65654,1.18013,0.00282,0.57895,0.08123,0.02342,2.39141,4.02883,1.61819,0.00112774,0.00112774,0.00112774
