epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7544,2.86789,4.16479,2.4012,0.00205,0.5,0.00117,0.00027,3.21438,4.56999,2.78988,6e-05,6e-05,6e-05
2,31.9951,3.17335,3.9034,2.68927,0.00308,0.75,0.00306,0.00059,3.00408,4.44476,2.61004,0.000138614,0.000138614,0.000138614
3,46.4234,2.80142,3.89099,2.48689,0.00359,0.875,0.00496,0.00161,2.66222,4.23037,2.37416,0.000215644,0.000215644,0.000215644
4,61.075,2.46856,3.73679,2.25345,0.00359,0.875,0.09227,0.03523,2.32313,3.93784,2.00358,0.00029109,0.00029109,0.00029109
5,75.9143,2.26831,3.48462,2.02436,0.00333,0.8125,0.14695,0.06669,2.14438,3.82598,1.85457,0.000364952,0.000364952,0.000364952
6,90.4439,2.24006,3.44977,1.96545,0.00359,0.875,0.07385,0.03246,1.82605,3.76267,1.68582,0.00043723,0.00043723,0.00043723
7,104.661,2.06155,3.26427,1.83235,0.00359,0.875,0.11713,0.04457,1.46354,3.61668,1.49167,0.000507924,0.000507924,0.000507924
8,119.373,1.92215,3.02306,1.69177,0.00385,0.9375,0.14387,0.04762,1.48129,3.49621,1.48869,0.000577034,0.000577034,0.000577034
9,134.287,1.72144,2.69073,1.56802,0.0041,1,0.14998,0.04438,1.42814,3.32271,1.52696,0.00064456,0.00064456,0.00064456
10,149.436,1.8247,2.72507,1.61257,0.31815,0.3125,0.26679,0.10537,1.48423,3.25125,1.53987,0.000710502,0.000710502,0.000710502
11,164.207,1.81401,2.72951,1.56793,0.68209,0.375,0.3339,0.05489,1.71264,3.36921,1.81522,0.00077486,0.00077486,0.00077486
12,179.02,1.73047,2.49754,1.52499,0.2365,0.3125,0.20011,0.04935,1.85546,3.71119,1.8058,0.000837634,0.000837634,0.000837634
13,193.971,1.6745,2.52344,1.51413,0.18491,0.4375,0.17966,0.03242,2.17793,4.36655,2.35519,0.000898824,0.000898824,0.000898824
14,209.172,1.64857,2.36113,1.47572,0.27053,0.3125,0.21548,0.05586,2.00545,3.74869,2.14042,0.00095843,0.00095843,0.00095843
15,224.061,1.62419,2.1909,1.52961,0.26363,0.25,0.1757,0.04825,1.72456,3.17998,1.81247,0.00101645,0.00101645,0.00101645
16,238.606,1.66586,2.22147,1.52634,0.42878,0.25,0.20458,0.05389,1.85403,3.26905,1.90667,0.00107289,0.00107289,0.00107289
17,253.764,1.57265,2.24141,1.42752,0.37947,0.25,0.18717,0.04689,1.97414,3.33402,2.02782,0.00112774,0.00112774,0.00112774
18,268.805,1.67578,2.47037,1.50603,0.07894,0.0625,0.04442,0.02166,1.98294,3.34108,1.98641,0.00118101,0.00118101,0.00118101
19,283.464,1.59071,2.30468,1.40663,0.00413,0.8125,0.01425,0.00505,2.68204,3.88363,3.43136,0.0012327,0.0012327,0.0012327
20,298.761,1.40054,2.09105,1.3273,0.00342,0.625,0.00836,0.00282,3.02569,3.99916,4.66015,0.0012828,0.0012828,0.0012828
21,313.51,1.49212,2.03995,1.40749,0.00183,0.375,0.00455,0.00173,3.50023,4.32546,6.26545,0.00133132,0.00133132,0.00133132
22,328.739,1.46564,2.10051,1.36596,0.00182,0.375,0.00296,0.00081,3.39699,4.2462,5.67309,0.00137825,0.00137825,0.00137825
23,343.946,1.4105,1.90335,1.40272,0.0016,0.3125,0.00156,0.00028,3.71365,4.44435,5.68371,0.0014236,0.0014236,0.0014236
24,358.924,1.65944,2.22059,1.58477,0.00034,0.0625,5e-05,0,3.82651,4.49131,5.89305,0.00146737,0.00146737,0.00146737
25,374.615,1.64102,2.16508,1.54132,0.0007,0.125,0.00013,7e-05,3.91871,4.82349,5.74228,0.00150955,0.00150955,0.00150955
26,390.202,1.45418,2.21928,1.37324,0.00027,0.0625,3e-05,1e-05,4.35277,8.18473,6.31608,0.001505,0.001505,0.001505
