epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5283,2.86789,4.16479,2.4012,0.00205,0.5,0.00117,0.00027,3.21438,4.56999,2.78988,6e-05,6e-05,6e-05
2,29.6048,3.17335,3.9034,2.68927,0.00308,0.75,0.00306,0.00059,3.00408,4.44476,2.61004,0.000138614,0.000138614,0.000138614
3,43.3987,2.80142,3.89099,2.48689,0.00359,0.875,0.00496,0.00161,2.66222,4.23037,2.37416,0.000215644,0.000215644,0.000215644
4,57.2724,2.46856,3.73679,2.25345,0.00359,0.875,0.09227,0.03523,2.32313,3.93784,2.00358,0.00029109,0.00029109,0.00029109
5,71.4529,2.26831,3.48462,2.02436,0.00333,0.8125,0.14695,0.06669,2.14438,3.82598,1.85457,0.000364952,0.000364952,0.000364952
6,85.6056,2.24006,3.44977,1.96545,0.00359,0.875,0.07385,0.03246,1.82605,3.76267,1.68582,0.00043723,0.00043723,0.00043723
7,99.1233,2.06155,3.26427,1.83235,0.00359,0.875,0.11713,0.04457,1.46354,3.61668,1.49167,0.000507924,0.000507924,0.000507924
8,112.727,1.92215,3.02306,1.69177,0.00385,0.9375,0.14387,0.04762,1.48129,3.49621,1.48869,0.000577034,0.000577034,0.000577034
9,126.522,1.72144,2.69073,1.56802,0.0041,1,0.14998,0.04438,1.42814,3.32271,1.52696,0.00064456,0.00064456,0.00064456
10,140.01,1.8247,2.72507,1.61257,0.31815,0.3125,0.26679,0.10537,1.48423,3.25125,1.53987,0.000710502,0.000710502,0.000710502
11,153.702,1.81401,2.72951,1.56793,0.68209,0.375,0.3339,0.05489,1.71264,3.36921,1.81522,0.00077486,0.00077486,0.00077486
12,167.729,1.73047,2.49754,1.52499,0.2365,0.3125,0.20011,0.04935,1.85546,3.71119,1.8058,0.000837634,0.000837634,0.000837634
13,181.226,1.6745,2.52344,1.51413,0.18491,0.4375,0.17966,0.03242,2.17793,4.36655,2.35519,0.000898824,0.000898824,0.000898824
14,195.141,1.64857,2.36113,1.47572,0.27053,0.3125,0.21548,0.05586,2.00545,3.74869,2.14042,0.00095843,0.00095843,0.00095843
15,209.789,1.62419,2.1909,1.52961,0.26363,0.25,0.1757,0.04825,1.72456,3.17998,1.81247,0.00101645,0.00101645,0.00101645
