epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.797,3.50053,3.87618,2.06562,0,0,0,0,5.12831,3.87091,2.601,0.00014,0.00014,0.00014
2,40.9524,2.24851,3.36902,1.37797,0.00054,0.03571,6e-05,1e-05,2.88164,3.89457,1.61131,0.00029703,0.00029703,0.00029703
3,60.8828,1.64442,2.67006,1.08047,0.00528,0.4375,0.00447,0.00119,2.50575,3.65078,1.42514,0.000450892,0.000450892,0.000450892
4,81.5415,1.38146,2.00913,0.98022,0.0083,0.66964,0.01555,0.00406,2.02182,3.52173,1.33349,0.000601586,0.000601586,0.000601586
5,101.559,1.2494,1.6524,0.96332,0.00481,0.25893,0.00462,0.00165,2.31041,3.56483,1.95841,0.000749112,0.000749112,0.000749112
6,121.405,1.07155,1.5039,0.93969,0.00385,0.27679,0.00517,0.00259,2.15898,3.40673,2.23113,0.00089347,0.00089347,0.00089347
7,142.776,0.97087,1.3298,0.90393,0.00254,0.1875,0.00095,0.00059,2.39832,3.61179,2.92305,0.00103466,0.00103466,0.00103466
8,163.447,0.99373,1.25567,0.91909,0.00595,0.49107,0.01718,0.01041,1.9341,3.16175,1.56362,0.00117268,0.00117268,0.00117268
9,183.651,0.88996,1.41542,0.88896,0.11042,0.03772,0.01819,0.01066,2.02221,3.08703,1.90482,0.00130754,0.00130754,0.00130754
10,205.814,0.85512,1.30908,0.88226,0.27642,0.08036,0.08612,0.04686,1.33996,2.77577,1.10945,0.00143922,0.00143922,0.00143922
11,227.218,0.90116,1.21582,0.90158,0.23277,0.08929,0.08796,0.05893,1.05352,2.6687,1,0.00156774,0.00156774,0.00156774
12,247.565,0.98148,1.18466,0.906,0.32361,0.17857,0.13169,0.07958,1.31175,2.63295,1.10406,0.00169309,0.00169309,0.00169309
13,268.502,0.90018,1.0078,0.8946,0.34749,0.33929,0.30772,0.20599,0.94154,2.00325,0.9702,0.0017624,0.0017624,0.0017624
14,288.82,0.79497,1.1136,0.8739,0.49303,0.27679,0.33813,0.24421,0.78108,2.22474,0.93483,0.0017426,0.0017426,0.0017426
15,309.029,0.77584,0.99691,0.88486,0.54892,0.35857,0.40859,0.32045,0.91403,2.06156,0.95678,0.0017228,0.0017228,0.0017228
16,330.34,0.74157,0.88379,0.85401,0.51335,0.32965,0.39024,0.29672,0.937,1.96456,1.00057,0.001703,0.001703,0.001703
17,350.225,0.707,1.09813,0.85395,0.53704,0.17612,0.27138,0.19998,1.08262,2.28349,1.07653,0.0016832,0.0016832,0.0016832
18,371.031,0.74813,1.04285,0.86871,0.4339,0.35714,0.34594,0.24975,0.91922,1.86231,1.0104,0.0016634,0.0016634,0.0016634
